Item Name,Item Rating,Total number of ratings,Item Price,Item Delivery Date,Item Url
"JBL Clip 4 - Portable Mini Bluetooth Speaker, Big Audio and Punchy bass, Integrated Carabiner, IP67 Waterproof and dustproof, 10 Hours of Playtime, Speaker for Home, Outdoor and Travel - (Squad)",4.7,4508,79.95,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00725589ESA04CNS065&url=%2FJBL-Clip-Bluetooth-Integrated-Waterproof%2Fdp%2FB08PJB949Z%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-11-spons%26psc%3D1&qualifier=1639346112&id=693679478066353&widgetName=sp_mtf
JBL CHARGE 5 - Portable Bluetooth Speaker with IP67 Waterproof and USB Charge out - Black,4.8,2046,179.95,"Wed, Dec 15",https://www.amazon.com/JBL-CHARGE-Portable-Bluetooth-Waterproof/dp/B08X4YMTPM/ref=sr_1_12?keywords=JBL+Speakers&qid=1639346112&sr=8-12
JBL Flip 5 Waterproof Portable Wireless Bluetooth Speaker Bundle with Hardshell Protective Case - Blue,4.8,771,122.49,"Thu, Dec 16",https://www.amazon.com/JBL-Waterproof-Bluetooth-Hardshell-Protective/dp/B07ZQM8LVT/ref=sr_1_13?keywords=JBL+Speakers&qid=1639346112&sr=8-13
JBL Charge 5 Portable Waterproof Wireless Bluetooth Speaker Bundle with divvi! Protective Hardshell Case - Black,4.8,889,179.99,"Wed, Dec 15",https://www.amazon.com/JBL-Charge-Waterproof-Protective-Case/dp/B08ZQF2ZL8/ref=sr_1_14?keywords=JBL+Speakers&qid=1639346112&sr=8-14
"JBL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",4.7,4508,79.95,"Wed, Dec 15",https://www.amazon.com/JBL-Clip-Built-Waterproof-JBLCLIP4BLKAM/dp/B08PJ7JMQM/ref=sr_1_15?keywords=JBL+Speakers&qid=1639346112&sr=8-15
MIATONE Outdoor Waterproof Portable Bluetooth Speaker Wireless - Green,4.6,13931,39.99,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00104282I94O5K36HOEN&url=%2FMIATONE-Waterproof-Portable-Bluetooth-Wireless%2Fdp%2FB08CV2C2FV%2Fref%3Dsr_1_16_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-16-spons%26psc%3D1&qualifier=1639346112&id=693679478066353&widgetName=sp_mtf
JBL Charge 4 Portable Waterproof Wireless Bluetooth Speaker - Black (Renewed),4.7,6143,104.95,"Thu, Dec 16",https://www.amazon.com/JBL-Portable-Waterproof-Wireless-Bluetooth/dp/B07LCTFL2K/ref=sr_1_17?keywords=JBL+Speakers&qid=1639346112&sr=8-17
JBL Flip 5 Waterproof Portable Bluetooth Speaker - Black (Renewed),4.7,3159,99.95,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B07WKS9C9H/ref=sr_1_18?keywords=JBL+Speakers&qid=1639346112&sr=8-18
"JBL Go 3: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black",4.8,6767,49.95,"Wed, Dec 15",https://www.amazon.com/JBL-Bluetooth-Built-Waterproof-Dustproof/dp/B08KW1KR5H/ref=sr_1_19?keywords=JBL+Speakers&qid=1639346112&sr=8-19
JBL Flip 5 Waterproof Portable Wireless Bluetooth Speaker Bundle with Hardshell Protective Case - Black,4.8,2388,129.99,"Tue, Dec 21",https://www.amazon.com/JBL-Waterproof-Bluetooth-Hardshell-Protective/dp/B07ZPR4JKY/ref=sr_1_20?keywords=JBL+Speakers&qid=1639346112&sr=8-20
"JBL Tune 225TWS True Wireless Earbud Headphones - JBL Pure Bass Sound, Bluetooth, 25H Battery, Dual Connect, Native Voice Assistant (Black)",4.1,5485,49.95,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07032692UBFAIWOK6S14&url=%2FJBL-225TWS-Wireless-Earbud-Headphones%2Fdp%2FB088NDGYPX%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-21-spons%26psc%3D1&qualifier=1639346112&id=693679478066353&widgetName=sp_btf
"Computer Speaker for Desktop 10w USB Powered Multimedia Stereo Speakers, RGB Gaming Laptop Speaker with Touch-Button, 2.0 Channel PC/Laptop Speakers",4.6,7,31.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0986529XWE0XQE08TKJ&url=%2FComputer-Speaker-Multimedia-Speakers-Touch-Button%2Fdp%2FB09MCTZY7L%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-22-spons%26psc%3D1&qualifier=1639346112&id=693679478066353&widgetName=sp_btf
"TREBLAB HD-Max - Big Loud Bluetooth Speaker - 50W, 20H Battery, Powerbank, TWS, IPX6 Waterproof | Loud Portable Speaker with Deep Bass | Wireless Outdoor Speakers w/Type-C Connector & Carrying Strap",4.6,756,179.97,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A016758115VBEIBESHJRQ&url=%2FTREBLAB-HD-Max-Bluetooth-Powerbank-Waterproof%2Fdp%2FB08G55RRQN%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346117%26sr%3D8-17-spons%26psc%3D1%26smid%3DA3UH2S5IAJUAO4&qualifier=1639346117&id=734883197990276&widgetName=sp_atf_next
"SUNHai Bluetooth Speaker Portable Wireless Radio Desktop Speaker J19 with HD Sound,FM,TF,USB Player,USB Charge,AUX Input,Built-in Microphone,Aux Cable,Support Hands-Free Call for Outdoors,Party-Black",4.2,2314,25.9,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0534086VHXV5NQ2FE7N&url=%2FSUNhai-J19-Microphone-Hands-Free-Party-Black%2Fdp%2FB085ND9MGM%2Fref%3Dsr_1_18_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346117%26sr%3D8-18-spons%26psc%3D1&qualifier=1639346117&id=734883197990276&widgetName=sp_atf_next
JBL PartyBox 300 - High Power Portable Wireless Bluetooth Party Speaker,4.7,2269,0.0,,https://www.amazon.com/JBL-PartyBox-Portable-Wireless-Bluetooth/dp/B07HY92MV6/ref=sr_1_19?keywords=JBL+Speakers&qid=1639346117&sr=8-19
JBL FLIP 5 Portable Wireless Bluetooth Speaker IPX7 Waterproof On-The-Go Bundle with Boomph Hardshell Protective Case - Red,4.7,381,117.49,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Bluetooth-Hardshell-Protective/dp/B08BS5HNX4/ref=sr_1_20?keywords=JBL+Speakers&qid=1639346117&sr=8-20
JBL Charge 4 Waterproof Wireless Bluetooth Speaker Bundle with Portable Hard Case - Black,4.8,7738,129.49,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Wireless-Bluetooth-Portable/dp/B07JBXD694/ref=sr_1_21?keywords=JBL+Speakers&qid=1639346117&sr=8-21
JBL GO2 - Waterproof Ultra-Portable Bluetooth Speaker - Black,4.7,32659,39.8,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B07QDPRYYD/ref=sr_1_22?keywords=JBL+Speakers&qid=1639346117&sr=8-22
JBL PartyBox 100 - High Power Portable Wireless Bluetooth Party Speaker,4.8,1965,0.0,,https://www.amazon.com/JBL-Partybox-Portable-Wireless-Bluetooth/dp/B07VHTF419/ref=sr_1_23?keywords=JBL+Speakers&qid=1639346117&sr=8-23
JBL PartyBox On-The-Go Portable Party Speaker with Built-in Lights Black (Renewed) (with Microphone),4.4,143,266.99,"Thu, Dec 16",https://www.amazon.com/JBL-PartyBox-Portable-Speaker-Built/dp/B08RRNGD21/ref=sr_1_24?keywords=JBL+Speakers&qid=1639346117&sr=8-24
JBL FLIP 5 Waterproof Portable Bluetooth Speaker Made From 100% Recycled Plastic - Green (Renewed),4.7,294,94.96,,https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Recycled/dp/B08T256DP5/ref=sr_1_25?keywords=JBL+Speakers&qid=1639346117&sr=8-25
JBL FLIP 5 Portable Speaker IPX7 Waterproof Bundle with gSport Limited Edition Carbon Fiber Case (Black),4.8,2901,129.99,"Wed, Dec 15",https://www.amazon.com/JBL-Portable-Speaker-Waterproof-Limited/dp/B088C48F37/ref=sr_1_26?keywords=JBL+Speakers&qid=1639346117&sr=8-26
"LED Bluetooth Speaker,DBOOM Outdoor Portable Bluetooth Speakers with Handle,Colorful LED Lights,Wireless Surround Sound Speakers with Bluetooth 5.0 for Home, Party, Outdoor, Travel",3.6,4,38.99,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A025902023MQXU30EBB&url=%2FBluetooth-DBOOM-Portable-Speakers-Colorful%2Fdp%2FB09FXWT1JM%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346119%26sr%3D8-33-spons%26psc%3D1&qualifier=1639346119&id=3270014218425356&widgetName=sp_atf_next
"TikiTunes Portable Bluetooth 5.0 Indoor/Outdoor Wireless Speakers, LED Torch Atmospheric Lighting Effect, 5-Watt Audio USB Speakers, 2000 mAh Battery for iPhone/iPad/Android (Set of 2)",4.4,1826,69.99,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04608161RMRCXY5HEJW5&url=%2FTiki-Tunes-Outdoor-Bluetooth-Speakers%2Fdp%2FB07KFLZ6DL%2Fref%3Dsr_1_34_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346119%26sr%3D8-34-spons%26psc%3D1&qualifier=1639346119&id=3270014218425356&widgetName=sp_atf_next
"JBL Flip 5 Bluetooth Splashproof Speaker, Blue",4.8,79,108.79,"Thu, Dec 16",https://www.amazon.com/JBL-Flip-Bluetooth-Splashproof-Speaker/dp/B08JZHYKRZ/ref=sr_1_35?keywords=JBL+Speakers&qid=1639346119&sr=8-35
JBL Charge 5 - Portable Bluetooth Speaker with Megen Hardshell Travel Case with IP67 Waterproof and USB Charge Out (Gray),4.7,145,179.95,"Wed, Dec 15",https://www.amazon.com/JBL-Charge-Bluetooth-Hardshell-Waterproof/dp/B0984WNNPS/ref=sr_1_36?keywords=JBL+Speakers&qid=1639346119&sr=8-36
"JBL PartyBox 110 - Portable Party Speaker with Built-in Lights, Powerful Sound and deep bass",4.8,62,0.0,,https://www.amazon.com/JBL-PartyBox-110-Portable-Built/dp/B094DPXR4X/ref=sr_1_37?keywords=JBL+Speakers&qid=1639346119&sr=8-37
JBL Boombox - Waterproof Portable Bluetooth Speaker - Black,4.8,13350,0.0,,https://www.amazon.com/JBL-Boombox-Portable-Bluetooth-Waterproof/dp/B0759GC766/ref=sr_1_33?keywords=JBL+Speakers&qid=1639346119&sr=8-33
JBL Xtreme 3 Portable Waterproof Bluetooth Speaker Bundle with gSport Hardshell Case (Black),4.7,267,379.99,"Thu, Dec 16",https://www.amazon.com/JBL-Waterproof-Bluetooth-Speaker-Shoulder/dp/B08Q4J7QFD/ref=sr_1_34?keywords=JBL+Speakers&qid=1639346119&sr=8-34
JBL Charge 4 Waterproof Wireless Bluetooth Speaker Bundle with Portable Hard Case (Green Camo),4.8,771,127.85,"Thu, Dec 16",https://www.amazon.com/JBL-Waterproof-Wireless-Bluetooth-Portable/dp/B07QZTZFFG/ref=sr_1_35?keywords=JBL+Speakers&qid=1639346119&sr=8-35
"JBL Professional EON615 2-Way Multipurpose Self-Powered Sound Reinforcement, 15-Inch",4.4,444,525.0,"Fri, Dec 17",https://www.amazon.com/JBL-EON615-Multipurpose-Self-Powered-Reinforcement/dp/B00J59LEBG/ref=sr_1_36?keywords=JBL+Speakers&qid=1639346119&sr=8-36
"JBL JBLFLIP5BLKAM FLIP 5 Waterproof Portable Bluetooth Speaker,Black",4.8,132,107.69,,https://www.amazon.com/JBL-JBLFLIP5BLKAM-Waterproof-Portable-Bluetooth/dp/B089FNKPS7/ref=sr_1_37?keywords=JBL+Speakers&qid=1639346119&sr=8-37
"SANAG Portable Bluetooth Speaker, 360 HD Surround Loud Sound and Deep Bass, 25W Wireless Stereo Dual Pairing, IPX7 Waterproof, Bluetooth 5.0, 24H Playtime for Outdoors, Travel, Home and Party",5.0,4,69.9,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0581217K3EZBRU4EDCI&url=%2FPortable-Bluetooth-Surround-Wireless-Waterproof%2Fdp%2FB09287291W%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346121%26sr%3D8-49-spons%26psc%3D1&qualifier=1639346121&id=6589262707175475&widgetName=sp_atf_next
"【Upgraded】 SUNHAI Portable 20w Waterproof Wireless Stereo Bluetooth Speakers J20 with Bass Sound,Party Light,IPX67,HD Sound,Long Battery Life Support Hands-Free Call for Outdoor -Black",4.6,579,39.9,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A100463915NYS6LAOKJTW&url=%2FWaterproof-Bluetooth-Hands-Free-Activities-Gift-Black%2Fdp%2FB089R3NP3R%2Fref%3Dsr_1_50_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346121%26sr%3D8-50-spons%26psc%3D1&qualifier=1639346121&id=6589262707175475&widgetName=sp_atf_next
JBL Flip 6 Waterproof Portable Wireless Bluetooth Speaker Bundle with divvi! Protective Hardshell Case - Gray,0.0,0,139.95,,https://www.amazon.com/JBL-Waterproof-Bluetooth-Protective-Hardshell/dp/B09LWRSRBB/ref=sr_1_51?keywords=JBL+Speakers&qid=1639346121&sr=8-51
JBL Clip 4 Waterproof Portable Bluetooth Speaker Bundle with gSport Carbon Fiber Case (Black),4.7,425,79.99,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B08TFNJSS8/ref=sr_1_52?keywords=JBL+Speakers&qid=1639346121&sr=8-52
"Roaming Light Outdoor Bluetooth Rock Speaker Solar Powered-Single Pack，Random Pair Two Speakers as a Group, Built in Rechargeable Li Battery, Wireless Bluetooth Speaker Waterproof for Outdoor use",4.2,118,65.99,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A0303094PSUKN6RJB4M9&url=%2FRoaming-Light-Bluetooth-Speaker-Single-Speakers%2Fdp%2FB07X2QSBHD%2Fref%3Dsr_1_65_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346122%26sr%3D8-65-spons%26psc%3D1%26smid%3DATBK5U0RSUYUB&qualifier=1639346122&id=8302145023430000&widgetName=sp_atf_next
"Sony SRS-XB43 EXTRA BASS Wireless Portable Speaker IP67 Waterproof BLUETOOTH 24 Hour Battery and Built In Mic for Phone Calls, Black",4.7,6846,248.0,"Fri, Dec 17",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A0841555J1F9ZZJN9XAB&url=%2FSony-SRS-XB43-Wireless-Waterproof-BLUETOOTH%2Fdp%2FB086CYQ22F%2Fref%3Dsr_1_66_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346122%26sr%3D8-66-spons%26psc%3D1&qualifier=1639346122&id=8302145023430000&widgetName=sp_atf_next
JBL Charge 3 Portable Bluetooth Waterproof Speaker - Black,4.7,4411,119.95,"Thu, Dec 16",https://www.amazon.com/JBL-Portable-Bluetooth-Waterproof-Speaker/dp/B01FQVHGSG/ref=sr_1_67?keywords=JBL+Speakers&qid=1639346122&sr=8-67
JBL Flip 5 Waterproof Portable Bluetooth Recycled Plastic Speaker Bundle with divvi! Protective Hardshell Case - Blue (Eco Edition),4.8,253,129.99,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Bluetooth-Protective-Hardshell/dp/B08CS2333H/ref=sr_1_68?keywords=JBL+Speakers&qid=1639346122&sr=8-68
JBL FLIP 5 Waterproof Portable Bluetooth Speaker - Red (Renewed),4.7,1341,98.99,"Fri, Dec 17",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B07VXYXMC8/ref=sr_1_69?keywords=JBL+Speakers&qid=1639346122&sr=8-69
JBL PARTYBOX 300 Portable Bluetooth Speaker,0.0,0,499.95,Free 4 day shipping,https://www.ebay.com/itm/153376901513?_trkparms=ispr%3D1&hash=item23b5f9c989:g:ZRAAAOSwd5xcZDE5:sc:ShippingMethodStandard!58102!US!-1&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStEKTPzZMfQmny3knR97t0G%252Fq9WFw3WuWEqB3f3LRNm945XIPuCX%252F7UNCKoyWOXhgSf170DGhBc55B0OJaoZ2UZ77wrQoU%252F7t71EStaKhSKrUagsGeFoHrCLdBSdXoozCHQAMkgpZ2vyMoiQYtcsDsdA%252B8HoytDz9RP7YCxQctLlVARsStm41i4dtLJ7ufPZeDCrDNm%252BPSZMKy8Eig9I%252B2GP5nHGfx8m1XpgKYNBO09YTVjCkhMzn9kSsO0SQJJF3xj3SB%252FCslUqbQqKadOKfNfkcR8gplfKCArNXmIrnjEn%252BABL2jNKnV4vwCA9zVAOQyWEOpdQtg%252FVUJcBUom2Hn8hFwUxRun%252B65kv8T5cqcYQ8f%252FoWy%252Bm1wx%252FPejEMo5muaEvloPVUKoi3gmJEasmAEdSSuvHOnpXkXK1W%252BdhJ6bMqoM8IdqAJkEDXlbOhoPt%252B5oYO0sy26PI3fRT%252FVetY54TOYazDGppe7%252BZgGK75rcdTvno9P0SDjOV3B6Be9PytPE8zI8iQLACX%252FSHNOu5EoMbyVQJGHtIT2KVXMpiDVb%252FLZ4GK2xfEjdoIhBOlDEqMt9J7iDScvKu4rLE%252FdIrA5ZuGSypw7CWFA71ndTMMug%252BJ0ZuPCDEC7ynZW8QMkQGqcY%252FycDjhKcFMl7tlH5nmEldCUms7mStRJiCDuke%252F%252BuCwVPTfbb%252BoHQTOGFlnlw1OwmIb%252BrLEErbzXZN2ga2cdDl%252BoEjbgfnik8KDQvrDKfSXx9gy6F19Im5UGA1H8kcbf2vN3dvfWpb8NllkcToYIssIacRKr6wCESr4VEkdV6kORHlzYNpc2CkfnqKQ6zn4%7Cclp%3A2334524%7Ctkp%3ABFBMrOKmirZf
JBL FLIP 4 Black Open Box Waterproof Bluetooth Speaker,5.0,71,74.97,Free 3 day shipping,https://www.ebay.com/itm/174792228145?epid=856119983&hash=item28b26dbd31:g:tUsAAOSwK8lgupiz:sc:ShippingMethodExpress!58102!US!-1
Authentic JBL Xtreme   Portable Bluetooth Waterproof Speaker - Black   #2 3,4.5,382,149.99,,https://www.ebay.com/itm/224712179137?epid=691400709&_trkparms=ispr%3D1&hash=item3451e3bdc1:g:-5MAAOSw49xhoRA1&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYXlbGgl9WJjnFGaua65hmflR087in6Z4f%252FEHjPYwQRs8G8wD6BPDmwAqgZnlazzGihLqFnNdAFsom7b7TSn6r93OZEGSx8EOWQedGPICkqTp8lPXm04DDp%252FpsMM%252BHGAr0gVeIPkAWEfprke2SLyBa%252FoWC08%252BsuZJSbRGWtqMkvvUUkldyOtV25WU848oPQ35j8IQxhzBvBjn31p0Fvn65aW1FmQp4O2PV%252BbIdfCDUx0mjb9sy5yblrS9SvBVxpZ7vwZr9P1U%252FFlwEkK9H08jk7uaA3fDRY0hgSBgZZmTK25HMST0vJleLMFa4L6NBk3hGniCcCQ7za34DlsHyiqvQ4RBu3skN8wjEYz4X0FYOzvh3knERFmFIObv0JsJ0pJtpuypK7qz57G%252F%252B619sbDfaZa364PRu1aeNBktVJ%252B7%252Bx4AJ6JjhTPObsmxtXv6i9iWpFP5Ufo8MWMmq8LMfNDpPCEnIArtEOHjRtUmfBkReZwYzU1YSDblJcVmNY7NdGXhj%252FqCsl7wnqwpO2uhJN5E0lvmx8yACOtrKhnkl9z5sMSpGp2PkgKCVljcQHyr24gVyNpyV7F%252Bk7sZpqxdK6dTSrIcUPMrKttv37feCbVFVxU%252FQHcNxZ9h0np%252BayPsH0cwK0aoMrlnqlSmAEX7nbIoJt9NznzJ6dpDg5BbS8B1%252FspgvocsEUHUMpwbjbGIrDtrCLb6VcoTJlA6qQmza6ztB7IzsPQiFeCTg2Db5WRivbEKS9C198AAv597rSckb0VkRCltHe%252FwpelnjbYdfPPnAzaT0lZqLUMZBUB70V5KjEjS%7Cclp%3A2334524%7Ctkp%3ABFBMrOKmirZf
JBL Flip 5 Portable Waterproof Bluetooth Speaker (Squad),5.0,53,99.95,,https://www.ebay.com/itm/294368948538?epid=21033535927&_trkparms=ispr%3D1&hash=item4489c1b13a:g:oPQAAOSwg9ZhpepX&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5O%252BqjKkqQAo%252FeG9uHMHwmgjVAymkujZSn1kV2Hsj5jSPlMAyQqLqEdjfT7JLcZBdN%252FOoZaScvkUdXnFxzJJ3wnd3bKVxFxfp5aD5EdVjJDSQJOBm%252Fgwvb3VlWf6NRdFoFp9pNAdOpgTe5fSkfYOMgeuoJKO9NFtSLKjNlOPXnvYgaaOUsix6CAJ8318pSVF5peLUZYMuBQfTO2b6lshJynEOR6KyOfTC4qZTnvamNeUEmI8LstcaCg%252F5vmDH0ijVFMM8jMTBcnYkZlG2ZaHCyvfUdLEijpSNZAiKs8Xqtk056q%252FdDimBQK7m8pHff0Q84CjhTCVb0ye2AmviT38QBTNZ68LykzjRlrzpTsnVJzgpgIja6y8FKKlAFS4jzjXbb%252FPouVaUD%252BnBpafkVzIjfrcze804iv%252B%252ByXE31fMRunhhxlrtpBs5PirYi1OqRGRj00tvgsCOB5kJ%252F3Lzz%252F0KEpXmySrFUrUAbiG1jsi1brlwgcBGr5N8h5t2Om0Twz3x64uXt%252BCFpeygxaI1879Y2E3bkYA1I9lO35kvm4%252ByBqbB0RuodsV9bDwCt5Q8snQ9FohfWSkt0MiggiND1qlhSmzjmZzHX805Sm39qsw7%252BSmgXrBeBmw9XZ5o5N2%252FHn6h0dN%252Bf6IPUzQ7E4f%252BUpgwf8vsZbEQt7Lcr98VTeIQ38%252F6qOCHxFNYmYBK9g6NbaCYwACeBx8w7KrNCzC%252BEsHtT53WVAZYyI4yWSS6W%252FKXwiT0m2HumviXMr18h2Evk0gzJ4F1PptzdqsoQHKAMEIf7AnAMB9cGt89EbZ9isbponyg%7Cclp%3A2334524%7Ctkp%3ABFBMrOKmirZf
"New ListingPair of JBL D130 Speakers, 15"", 8ohm + JBL Model 075 Tweeters - Original Owner",0.0,0,850.0,,https://www.ebay.com/itm/203749183028?hash=item2f7065ce34:g:Lh8AAOSwQhxhtiLp
JBL L-112 Vintage Stereo Speakers - (Excellent Condition with Stands),0.0,0,1600.0,,https://www.ebay.com/itm/304251430943?hash=item46d6cc681f:g:aXEAAOSwTCxhLnRi
